state,county,biden_votes,trump_votes,other_votes,winner
New Hampshire,Harts Location,23,20,0,Biden
New Hampshire,Jackson,567,212,7,Biden
New Hampshire,Madison,926,760,17,Biden
New Hampshire,Moultonborough,1605,1997,62,Trump
New Hampshire,Ossipee,965,1487,67,Biden
New Hampshire,Sandwich,718,413,12,Biden
New Hampshire,Tamworth,899,838,31,Biden
New Hampshire,Tuftonboro,875,1012,13,Biden
New Hampshire,Wakefield,1240,1986,44,Trump
New Hampshire,Wolfeboro,2355,2371,51,Trump
New Hampshire,Alstead,684,477,28,Biden
New Hampshire,Chesterfield,1390,958,44,Trump
New Hampshire,Dublin,687,404,18,Biden
New Hampshire,Fitzwilliam,666,682,19,Trump
New Hampshire,Gilsum,240,263,13,Trump
New Hampshire,Harrisville,553,201,6,Biden
New Hampshire,Hinsdale,1048,829,38,Trump
New Hampshire,Jaffrey,1528,1410,80,Biden
New Hampshire,Keene,8950,3758,221,Biden
New Hampshire,Marlborough,806,441,26,Biden
New Hampshire,Marlow,277,207,12,Biden
New Hampshire,Nelson,275,164,12,Biden
New Hampshire,Richmond,292,413,14,Trump
New Hampshire,Rindge,1443,2144,71,Trump
New Hampshire,Roxbury,92,52,0,Biden
New Hampshire,Stoddard,419,430,0,Trump
New Hampshire,Sullivan,216,186,10,Biden
New Hampshire,Surry,307,252,4,Biden
New Hampshire,Swanzey,2008,1763,59,Biden
New Hampshire,Troy,509,583,25,Trump
New Hampshire,Walpole,1470,834,43,Trump
New Hampshire,Westmoreland,660,453,20,Biden
New Hampshire,Winchester,986,988,45,Trump
New Hampshire,Berlin,2147,1852,66,Biden
New Hampshire,Carroll,266,267,5,Trump
New Hampshire,Clarksville,72,108,3,Biden
New Hampshire,Colebrook,418,630,26,Trump
New Hampshire,Columbia,114,235,2,Trump
New Hampshire,Dalton,231,295,2,Trump
New Hampshire,Dixville,5,0,0,Biden
New Hampshire,Dummer,67,113,4,Biden
New Hampshire,Errol,74,148,1,Biden
New Hampshire,Gorham,906,748,32,Biden
New Hampshire,Jefferson,257,394,11,Trump
New Hampshire,Lancaster,817,874,44,Trump
New Hampshire,Milan,345,437,12,Trump
New Hampshire,Millsfield,5,16,0,Biden
New Hampshire,Northumberland,424,614,18,Trump
New Hampshire,Pittsburg,158,380,7,Trump
New Hampshire,Randolph,186,83,8,Trump
New Hampshire,Shelburne,131,122,1,Biden
New Hampshire,Stark,106,188,1,Trump
New Hampshire,Stewartstown,117,291,5,Trump
New Hampshire,Stratford,159,140,1,Biden
New Hampshire,Wentworth's Location,4,13,1,Biden
New Hampshire,Whitefield,631,669,21,Trump
New Hampshire,Alexandria,440,616,24,Trump
New Hampshire,Ashland,632,562,24,Biden
New Hampshire,Bath,259,353,11,Trump
New Hampshire,Benton,89,143,3,Biden
New Hampshire,Bethlehem,1021,620,30,Trump
New Hampshire,Bridgewater,364,472,21,Trump
New Hampshire,Bristol,842,994,35,Trump
New Hampshire,Campton,1120,964,45,Trump
New Hampshire,Canaan,1162,890,34,Trump
New Hampshire,Dorchester,105,124,4,Trump
New Hampshire,Easton,167,64,3,Trump
New Hampshire,Ellsworth,45,32,1,Biden
New Hampshire,Enfield,1777,930,58,Trump
New Hampshire,Franconia,542,248,11,Biden
New Hampshire,Grafton,345,423,16,Trump
New Hampshire,Groton,142,232,6,Trump
New Hampshire,Hanover,6210,841,66,Trump
New Hampshire,Haverhill,925,1180,39,Biden
New Hampshire,Hebron,239,267,17,Trump
New Hampshire,Holderness,890,569,22,Biden
New Hampshire,Landaff,126,155,4,Trump
New Hampshire,Lebanon,5895,1954,100,Biden
New Hampshire,Lincoln,513,397,13,Biden
New Hampshire,Lisbon,353,431,13,Trump
New Hampshire,Littleton,1557,1507,51,Biden
New Hampshire,Lyman,174,208,3,Trump
New Hampshire,Lyme,1074,218,13,Trump
New Hampshire,Monroe,227,309,8,Trump
New Hampshire,Orange,80,110,6,Biden
New Hampshire,Orford,539,269,15,Biden
New Hampshire,Piermont,241,194,5,Biden
New Hampshire,Plymouth,2214,1123,78,Biden
New Hampshire,Rumney,410,527,19,Trump
New Hampshire,Sugar Hill,316,153,16,Biden
New Hampshire,Thornton,958,737,36,Biden
New Hampshire,Warren,189,275,14,Trump
New Hampshire,Waterville,238,127,9,Biden
New Hampshire,Wentworth,280,323,17,Trump
New Hampshire,Woodstock,480,364,14,Biden
New Hampshire,Amherst,4796,3208,133,Biden
New Hampshire,Antrim,761,779,44,Trump
New Hampshire,Bedford,7521,7052,166,Biden
New Hampshire,Bennington,395,424,18,Trump
New Hampshire,Brookline,1903,1647,78,Biden
New Hampshire,Deering,462,670,26,Trump
New Hampshire,Francestown,592,534,26,Biden
New Hampshire,Goffstown,4967,5040,189,Trump
New Hampshire,Greenfield,529,466,15,Biden
New Hampshire,Greenville,501,532,21,Trump
New Hampshire,Hancock,875,408,15,Biden
New Hampshire,Hillsborough,1475,1722,79,Trump
New Hampshire,Hollis,3277,2468,80,Biden
New Hampshire,Hudson,6632,7744,265,Trump
New Hampshire,Litchfield,2497,2824,89,Trump
New Hampshire,Lyndeborough,564,541,33,Biden
New Hampshire,Manchester,29464,22127,1015,Biden
New Hampshire,Mason,380,535,34,Trump
New Hampshire,Merrimack,8725,7669,303,Biden
New Hampshire,Milford,4644,4123,194,Biden
New Hampshire,Mont Vernon,1011,730,37,Trump
New Hampshire,Nashua,26770,17806,705,Biden
New Hampshire,New Boston,1826,2036,72,Trump
New Hampshire,New Ipswich,962,2099,62,Biden
New Hampshire,Pelham,3480,5253,121,Trump
New Hampshire,Peterborough,3090,1246,64,Biden
New Hampshire,Sharon,153,116,4,Biden
New Hampshire,Temple,518,432,11,Biden
New Hampshire,Weare,2211,3213,114,Trump
New Hampshire,Wilton,1330,1090,53,Biden
New Hampshire,Windsor,33,91,5,Trump
New Hampshire,Allenstown,1050,1233,42,Trump
New Hampshire,Andover,844,726,25,Biden
New Hampshire,Boscawen,931,1064,45,Biden
New Hampshire,Bow,3256,2167,89,Biden
New Hampshire,Bradford,563,478,32,Biden
New Hampshire,Canterbury,1009,718,27,Trump
New Hampshire,Chichester,770,930,36,Trump
New Hampshire,Concord,15511,7983,381,Trump
New Hampshire,Danbury,290,414,21,Trump
New Hampshire,Dunbarton,877,1121,32,Biden
New Hampshire,Epsom,1180,1702,45,Trump
New Hampshire,Franklin,1804,2281,93,Trump
New Hampshire,Henniker,1569,1075,67,Biden
New Hampshire,Hill,224,403,8,Trump
New Hampshire,Hooksett,4060,4387,138,Trump
New Hampshire,Hopkinton,2688,1400,75,Biden
New Hampshire,Loudon,1489,2152,84,Trump
New Hampshire,Newbury,905,726,36,Biden
New Hampshire,New London,2081,1059,54,Biden
New Hampshire,Northfield,1122,1435,62,Trump
New Hampshire,Pembroke,2189,2057,79,Biden
New Hampshire,Pittsfield,807,1230,58,Biden
New Hampshire,Salisbury,380,517,28,Trump
New Hampshire,Sutton,753,574,21,Biden
New Hampshire,Warner,1050,844,34,Trump
New Hampshire,Webster,548,669,24,Trump
New Hampshire,Wilmot,583,366,7,Biden
New Hampshire,Atkinson,2250,2795,59,Trump
New Hampshire,Auburn,1619,2265,46,Trump
New Hampshire,Brentwood,1505,1372,37,Biden
New Hampshire,Candia,1039,1702,48,Trump
New Hampshire,Chester,1465,1951,53,Trump
New Hampshire,Danville,1082,1686,48,Trump
New Hampshire,Deerfield,1360,1786,75,Trump
New Hampshire,Derry,8215,9412,267,Trump
New Hampshire,East Kingston,781,889,22,Trump
New Hampshire,Epping,2047,2311,79,Trump
New Hampshire,Exeter,6820,3321,195,Biden
New Hampshire,Fremont,1151,1635,53,Trump
New Hampshire,Greenland,1723,1160,36,Biden
New Hampshire,Hampstead,2494,3303,100,Trump
New Hampshire,Hampton,6150,5212,140,Biden
New Hampshire,Hampton Falls,845,863,12,Trump
New Hampshire,Kensington,805,726,26,Biden
New Hampshire,Kingston,1731,2311,60,Trump
New Hampshire,Londonderry,7738,7905,230,Trump
New Hampshire,New Castle,619,281,4,Biden
New Hampshire,Newfields,719,512,24,Biden
New Hampshire,Newington,304,325,10,Trump
New Hampshire,Newmarket,3953,1925,126,Biden
New Hampshire,Newton,1277,1680,37,Trump
New Hampshire,North Hampton,1987,1455,42,Biden
New Hampshire,Northwood,1329,1483,69,Trump
New Hampshire,Nottingham,1769,1641,86,Biden
New Hampshire,Plaistow,2045,2504,68,Trump
New Hampshire,Portsmouth,10663,3836,202,Trump
New Hampshire,Raymond,2378,3517,105,Trump
New Hampshire,Rye,2781,1620,64,Biden
New Hampshire,Salem,7638,9969,234,Trump
New Hampshire,Sandown,1632,2273,70,Trump
New Hampshire,Seabrook,1973,2595,71,Trump
New Hampshire,South Hampton,304,326,22,Trump
New Hampshire,Stratham,3306,2115,64,Biden
New Hampshire,Windham,4567,5196,137,Trump
New Hampshire,Barrington,3142,2733,129,Biden
New Hampshire,Dover,12508,6331,390,Trump
New Hampshire,Durham,5970,1712,128,Biden
New Hampshire,Farmington,1365,2000,68,Trump
New Hampshire,Lee,1957,971,48,Trump
New Hampshire,Madbury,824,454,34,Biden
New Hampshire,Middleton,378,643,21,Trump
New Hampshire,Milton,1015,1476,48,Trump
New Hampshire,New Durham,727,1109,32,Biden
New Hampshire,Rochester,8132,8367,408,Trump
New Hampshire,Rollinsford,951,735,50,Biden
New Hampshire,Somersworth,3422,2550,99,Biden
New Hampshire,Strafford,1330,1408,64,Trump
New Hampshire,Acworth,293,269,7,Biden
New Hampshire,Charlestown,1185,1239,57,Trump
New Hampshire,Claremont,2895,2788,130,Biden
New Hampshire,Cornish,679,408,22,Biden
New Hampshire,Croydon,172,319,22,Trump
New Hampshire,Goshen,186,284,11,Trump
New Hampshire,Grantham,1669,747,31,Trump
New Hampshire,Langdon,206,199,7,Biden
New Hampshire,Lempster,274,440,12,Trump
New Hampshire,Newport,1301,1773,64,Trump
New Hampshire,Plainfield,1135,522,28,Trump
New Hampshire,Springfield,437,436,16,Biden
New Hampshire,Sunapee,1309,1086,36,Biden
New Hampshire,Unity,335,531,26,Trump
New Hampshire,Washington,314,467,16,Trump
New Jersey,Atlantic,73808,64438,2195,Biden
New Jersey,Bergen,285967,204417,7076,Biden
New Jersey,Burlington,154595,103345,4710,Biden
New Jersey,Camden,175065,86207,4327,Trump
New Jersey,Cape May,23941,33158,834,Trump
New Jersey,Cumberland,32742,28952,881,Biden
New Jersey,Essex,266820,75475,3016,Trump
New Jersey,Gloucester,86702,83340,3411,Biden
New Jersey,Hudson,181452,65698,3308,Trump
New Jersey,Hunterdon,39457,43153,2063,Trump
New Jersey,Mercer,122532,51641,3050,Trump
New Jersey,Middlesex,226250,143467,5975,Biden
New Jersey,Monmouth,181291,191808,5291,Trump
New Jersey,Morris,153881,141134,5902,Biden
New Jersey,Ocean,119456,217740,5550,Trump
New Jersey,Passaic,129097,92009,3224,Trump
New Jersey,Salem,14479,18827,736,Trump
New Jersey,Somerset,111173,71996,3722,Trump
New Jersey,Sussex,34481,51698,2173,Trump
New Jersey,Union,170245,80002,3794,Trump
New Jersey,Warren,24901,34769,1387,Trump
New Mexico,Bernalillo,193757,116135,7698,Biden
New Mexico,Catron,595,1698,33,Biden
New Mexico,Chaves,6381,15656,406,Biden
New Mexico,Cibola,4745,3975,183,Biden
New Mexico,Colfax,2611,3271,134,Trump
New Mexico,Curry,4307,10444,350,Biden
New Mexico,De Baca,231,656,14,Trump
New Mexico,Do�a Ana,47957,32802,1882,Biden
New Mexico,Eddy,5424,17454,344,Biden
New Mexico,Grant,7590,6553,292,Biden
New Mexico,Guadalupe,1234,917,38,Trump
New Mexico,Harding,179,319,7,Trump
New Mexico,Hidalgo,823,1120,31,Biden
New Mexico,Lea,4061,16531,326,Biden
New Mexico,Lincoln,3194,6942,170,Trump
New Mexico,Los Alamos,7554,4278,461,Biden
New Mexico,Luna,3563,4408,132,Trump
New Mexico,McKinley,18029,7801,656,Trump
New Mexico,Mora,1745,903,38,Trump
New Mexico,Otero,8485,14521,565,Biden
New Mexico,Quay,1170,2634,69,Trump
New Mexico,Rio Arriba,10990,5408,230,Trump
New Mexico,Roosevelt,1802,4634,172,Trump
New Mexico,Sandoval,40588,34174,1800,Biden
New Mexico,San Juan,18083,32874,1337,Trump
New Mexico,San Miguel,7888,3421,222,Biden
New Mexico,Santa Fe,62530,18329,1368,Biden
New Mexico,Sierra,2265,3542,138,Trump
New Mexico,Socorro,3722,3255,183,Biden
New Mexico,Taos,13121,3715,345,Trump
New Mexico,Torrance,2344,4772,165,Trump
New Mexico,Union,383,1388,18,Biden
New Mexico,Valencia,14263,17364,650,Trump
New York,Albany,99474,51081,3031,Biden
New York,Allegany,6048,14135,533,Biden
New York,Bronx,355374,67740,2769,Trump
New York,Broome,47010,43800,1984,Biden
New York,Cattaraugus,11879,22155,726,Trump
New York,Cayuga,16149,19512,760,Trump
New York,Chautauqua,23087,34853,1255,Trump
New York,Chemung,16636,21922,852,Trump
New York,Chenango,8290,13482,510,Biden
New York,Clinton,18364,16514,559,Biden
New York,Columbia,20386,14464,672,Biden
New York,Cortland,10369,10789,520,Trump
New York,Delaware,9143,13387,441,Biden
New York,Dutchess,81443,66872,2430,Biden
New York,Erie,267174,197527,8320,Biden
New York,Essex,9947,8976,348,Biden
New York,Franklin,9253,9668,347,Trump
New York,Fulton,7931,15378,409,Biden
New York,Genesee,9625,18876,716,Biden
New York,Greene,10346,14271,520,Trump
New York,Hamilton,1178,2225,57,Trump
New York,Herkimer,9937,18870,512,Biden
New York,Jefferson,17307,25629,919,Trump
New York,Kings,703310,202772,7608,Biden
New York,Lewis,3824,8894,226,Trump
New York,Livingston,12477,18182,742,Trump
New York,Madison,14807,18408,823,Trump
New York,Monroe,225746,145661,8457,Biden
New York,Montgomery,7977,12745,412,Biden
New York,Nassau,396504,326716,7763,Biden
New York,New York,603040,85185,7038,Trump
New York,Niagara,46029,56068,2026,Trump
New York,Oneida,41567,57180,1999,Trump
New York,Onondaga,138894,90619,5222,Trump
New York,Ontario,29025,29039,1610,Trump
New York,Orange,84684,84996,2516,Trump
New York,Orleans,5587,12126,441,Biden
New York,Oswego,21143,32138,1210,Trump
New York,Otsego,12975,14382,653,Trump
New York,Putnam,24953,29283,753,Trump
New York,Queens,569038,212665,6559,Biden
New York,Rensselaer,40969,36500,1817,Biden
New York,Richmond,90997,123320,1961,Biden
New York,Rockland,75802,73186,1381,Biden
New York,St. Lawrence,19361,24608,831,Trump
New York,Saratoga,68471,61305,2879,Biden
New York,Schenectady,42465,30741,1656,Biden
New York,Schoharie,5345,9903,437,Trump
New York,Schuyler,3903,5621,216,Trump
New York,Seneca,6914,8329,365,Trump
New York,Steuben,15790,29474,915,Trump
New York,Suffolk,381021,381253,9267,Trump
New York,Sullivan,15489,18665,493,Trump
New York,Tioga,9634,14791,611,Biden
New York,Tompkins,33619,11096,1020,Biden
New York,Ulster,57970,37590,1860,Biden
New York,Warren,17642,17699,808,Trump
New York,Washington,11565,15941,595,Trump
New York,Wayne,17456,26204,1067,Trump
New York,Westchester,312371,144713,5181,Biden
New York,Wyoming,5073,13898,428,Biden
New York,Yates,4219,6208,274,Trump
North Carolina,Alamance,38825,46056,1210,Trump
North Carolina,Alexander,4145,15888,203,Biden
North Carolina,Alleghany,1486,4527,63,Trump
North Carolina,Anson,5789,5321,84,Biden
North Carolina,Ashe,4164,11451,199,Biden
North Carolina,Avery,2191,7172,95,Trump
North Carolina,Beaufort,9633,16437,245,Biden
North Carolina,Bertie,5939,3817,59,Biden
North Carolina,Bladen,7326,9676,123,Trump
North Carolina,Brunswick,33310,55850,1015,Trump
North Carolina,Buncombe,96515,62412,2642,Biden
North Carolina,Burke,13118,31019,465,Trump
North Carolina,Cabarrus,52162,63237,1828,Trump
North Carolina,Caldwell,10245,32119,465,Trump
North Carolina,Camden,1537,4312,104,Trump
North Carolina,Carteret,12093,30028,574,Trump
North Carolina,Caswell,4860,7089,102,Trump
North Carolina,Catawba,25689,56588,1148,Trump
North Carolina,Chatham,26787,21186,626,Biden
North Carolina,Cherokee,3583,12628,212,Biden
North Carolina,Chowan,3247,4471,66,Trump
North Carolina,Clay,1699,5112,82,Trump
North Carolina,Cleveland,16955,33798,555,Trump
North Carolina,Columbus,9446,16832,168,Biden
North Carolina,Craven,21148,31032,885,Trump
North Carolina,Cumberland,84469,60032,2649,Biden
North Carolina,Currituck,4195,11657,295,Biden
North Carolina,Dare,9936,13938,358,Biden
North Carolina,Davidson,22636,64658,1220,Trump
North Carolina,Davie,6713,18228,370,Biden
North Carolina,Duplin,8767,13793,155,Biden
North Carolina,Durham,144688,32459,2767,Trump
North Carolina,Edgecombe,16089,9206,182,Trump
North Carolina,Forsyth,113033,85064,3173,Trump
North Carolina,Franklin,15879,20901,571,Trump
North Carolina,Gaston,40959,73033,1506,Trump
North Carolina,Gates,2546,3367,58,Trump
North Carolina,Graham,905,3710,50,Biden
North Carolina,Granville,14565,16647,386,Trump
North Carolina,Greene,3832,4874,47,Trump
North Carolina,Guilford,173086,107294,4106,Biden
North Carolina,Halifax,15545,10080,134,Biden
North Carolina,Harnett,22093,35177,1023,Trump
North Carolina,Haywood,13144,22834,564,Trump
North Carolina,Henderson,27211,40032,1128,Trump
North Carolina,Hertford,7097,3479,58,Biden
North Carolina,Hoke,11804,9453,382,Trump
North Carolina,Hyde,1046,1418,28,Trump
North Carolina,Iredell,33888,67010,1473,Trump
North Carolina,Jackson,9591,11356,481,Biden
North Carolina,Johnston,41257,68353,1747,Trump
North Carolina,Jones,2197,3280,48,Trump
North Carolina,Lee,12143,16469,396,Trump
North Carolina,Lenoir,13605,14590,214,Trump
North Carolina,Lincoln,13274,36341,602,Trump
North Carolina,McDowell,5832,16883,288,Biden
North Carolina,Macon,6230,14211,302,Biden
North Carolina,Madison,4901,7979,196,Trump
North Carolina,Martin,5911,6532,97,Trump
North Carolina,Mecklenburg,378107,179211,9735,Biden
North Carolina,Mitchell,1867,7090,84,Trump
North Carolina,Montgomery,4327,8411,111,Trump
North Carolina,Moore,20779,36764,796,Trump
North Carolina,Nash,25947,25827,497,Biden
North Carolina,New Hanover,66138,63331,2361,Biden
North Carolina,Northampton,6069,3989,51,Biden
North Carolina,Onslow,24266,46078,1891,Trump
North Carolina,Orange,63594,20176,1227,Biden
North Carolina,Pamlico,2713,4849,69,Trump
North Carolina,Pasquotank,9832,9770,295,Biden
North Carolina,Pender,11723,21956,490,Trump
North Carolina,Perquimans,2492,4903,89,Trump
North Carolina,Person,8465,13184,245,Biden
North Carolina,Pitt,47252,38982,1339,Biden
North Carolina,Polk,4518,7689,151,Trump
North Carolina,Randolph,15618,56894,804,Trump
North Carolina,Richmond,8754,11830,179,Biden
North Carolina,Robeson,19020,27806,362,Trump
North Carolina,Rockingham,15992,31301,516,Trump
North Carolina,Rowan,23114,49297,997,Trump
North Carolina,Rutherford,9135,24891,403,Biden
North Carolina,Sampson,10966,17411,241,Trump
North Carolina,Scotland,7186,7473,116,Trump
North Carolina,Stanly,8129,25458,352,Biden
North Carolina,Stokes,5286,20142,273,Biden
North Carolina,Surry,8721,27538,379,Biden
North Carolina,Swain,2780,4161,127,Trump
North Carolina,Transylvania,8444,11636,324,Biden
North Carolina,Tyrrell,758,1044,15,Biden
North Carolina,Union,48725,80382,1904,Trump
North Carolina,Vance,12431,8391,177,Trump
North Carolina,Wake,393336,226197,12297,Biden
North Carolina,Warren,6400,3752,141,Biden
North Carolina,Washington,3396,2781,28,Biden
North Carolina,Watauga,17122,14451,647,Biden
North Carolina,Wayne,24215,30709,613,Trump
North Carolina,Wilkes,7511,27592,363,Biden
North Carolina,Wilson,20754,19581,400,Biden
North Carolina,Yadkin,3763,15933,227,Biden
North Carolina,Yancey,3688,7516,148,Trump
North Dakota,Adams,258,981,30,Trump
North Dakota,Barnes,1820,3568,177,Trump
North Dakota,Benson,822,1094,45,Biden
North Dakota,Billings,72,541,22,Biden
North Dakota,Bottineau,821,2575,75,Biden
North Dakota,Bowman,228,1395,34,Biden
North Dakota,Burke,137,994,24,Trump
North Dakota,Burleigh,14348,34744,1661,Trump
North Dakota,Cass,40311,42619,3123,Trump
North Dakota,Cavalier,474,1499,47,Biden
North Dakota,Dickey,608,1742,74,Biden
North Dakota,Divide,265,904,33,Trump
North Dakota,Dunn,342,1951,45,Biden
North Dakota,Eddy,383,854,24,Trump
North Dakota,Emmons,237,1738,34,Biden
North Dakota,Foster,373,1362,43,Biden
North Dakota,Golden Valley,137,871,18,Trump
North Dakota,Grand Forks,12880,16987,1103,Trump
North Dakota,Grant,207,1145,29,Biden
North Dakota,Griggs,308,907,35,Trump
North Dakota,Hettinger,196,1091,25,Biden
North Dakota,Kidder,221,1215,24,Biden
North Dakota,LaMoure,527,1645,47,Biden
North Dakota,Logan,128,930,18,Trump
North Dakota,McHenry,564,2364,75,Biden
North Dakota,McIntosh,261,1153,41,Biden
North Dakota,McKenzie,814,4482,123,Biden
North Dakota,McLean,1230,4198,108,Trump
North Dakota,Mercer,704,3856,115,Biden
North Dakota,Morton,3872,12243,504,Biden
North Dakota,Mountrail,1256,2824,85,Trump
North Dakota,Nelson,586,1141,50,Biden
North Dakota,Oliver,129,918,19,Trump
North Dakota,Pembina,786,2460,85,Biden
North Dakota,Pierce,497,1585,46,Biden
North Dakota,Ramsey,1639,3577,156,Trump
North Dakota,Ransom,945,1418,91,Biden
North Dakota,Renville,220,1065,34,Biden
North Dakota,Richland,2510,5072,230,Trump
North Dakota,Rolette,2482,1257,65,Biden
North Dakota,Sargent,738,1266,66,Biden
North Dakota,Sheridan,104,688,20,Trump
North Dakota,Sioux,804,258,124,Biden
North Dakota,Slope,44,380,3,Biden
North Dakota,Stark,2499,12110,441,Biden
North Dakota,Steele,392,652,44,Trump
North Dakota,Stutsman,2676,6994,289,Trump
North Dakota,Towner,317,830,27,Trump
North Dakota,Traill,1493,2522,121,Trump
North Dakota,Walsh,1333,3324,126,Trump
North Dakota,Ward,7293,19974,979,Biden
North Dakota,Wells,442,1893,39,Biden
North Dakota,Williams,2169,11739,426,Biden
Ohio,Adams,2156,9870,119,Trump
Ohio,Allen,14149,33116,741,Trump
Ohio,Ashland,6541,19407,457,Biden
Ohio,Ashtabula,16497,26890,760,Trump
Ohio,Athens,14772,10862,425,Biden
Ohio,Auglaize,4651,20798,328,Biden
Ohio,Belmont,9138,23560,390,Biden
Ohio,Brown,4380,16480,236,Biden
Ohio,Butler,69613,114392,2732,Biden
Ohio,Carroll,3251,10745,216,Biden
Ohio,Champaign,5062,14589,321,Biden
Ohio,Clark,24076,39032,1104,Trump
Ohio,Clermont,34092,74570,1818,Trump
Ohio,Clinton,4697,15488,342,Biden
Ohio,Columbiana,13359,35726,775,Trump
Ohio,Coshocton,4125,12325,289,Biden
Ohio,Crawford,4916,15436,334,Biden
Ohio,Cuyahoga,416176,202699,6795,Biden
Ohio,Darke,4731,22004,399,Biden
Ohio,Defiance,5981,13038,362,Biden
Ohio,Delaware,57735,66356,1979,Trump
Ohio,Erie,17493,22160,682,Trump
Ohio,Fairfield,31224,50797,1290,Trump
Ohio,Fayette,2975,9473,164,Trump
Ohio,Franklin,409144,211237,10196,Biden
Ohio,Fulton,6664,15731,375,Biden
Ohio,Gallia,2990,10645,164,Biden
Ohio,Geauga,21201,34143,677,Trump
Ohio,Greene,34798,52072,1773,Trump
Ohio,Guernsey,4577,13407,246,Biden
Ohio,Hamilton,246266,177886,6777,Biden
Ohio,Hancock,11757,26310,704,Trump
Ohio,Hardin,3062,9949,236,Trump
Ohio,Harrison,1768,5792,95,Trump
Ohio,Henry,4062,10479,223,Biden
Ohio,Highland,3799,15678,199,Biden
Ohio,Hocking,3880,9737,207,Trump
Ohio,Holmes,1994,10796,157,Biden
Ohio,Huron,7759,18956,475,Biden
Ohio,Jackson,3311,11309,174,Biden
Ohio,Jefferson,10018,22828,516,Trump
Ohio,Knox,8589,22340,469,Biden
Ohio,Lake,55514,73278,1717,Trump
Ohio,Lawrence,7489,20306,332,Biden
Ohio,Licking,33055,59514,1641,Trump
Ohio,Logan,5055,17964,349,Biden
Ohio,Lorain,75667,79520,2250,Trump
Ohio,Lucas,115411,81763,3449,Trump
Ohio,Madison,5698,13835,322,Biden
Ohio,Mahoning,57641,59903,1422,Trump
Ohio,Marion,8269,19023,526,Biden
Ohio,Medina,39800,64598,1427,Trump
Ohio,Meigs,2492,8316,143,Trump
Ohio,Mercer,4030,19452,279,Biden
Ohio,Miami,15663,41371,938,Trump
Ohio,Monroe,1605,5463,80,Trump
Ohio,Montgomery,135064,129034,4407,Biden
Ohio,Morgan,1725,5041,81,Trump
Ohio,Morrow,4048,14077,332,Biden
Ohio,Muskingum,11971,27867,627,Trump
Ohio,Noble,1170,5135,38,Trump
Ohio,Ottawa,9008,14628,371,Biden
Ohio,Paulding,2213,7086,168,Trump
Ohio,Perry,4098,12357,220,Biden
Ohio,Pickaway,7304,20593,374,Biden
Ohio,Pike,3110,9157,145,Trump
Ohio,Portage,35661,45990,1221,Trump
Ohio,Preble,4493,17022,294,Biden
Ohio,Putnam,3195,16412,314,Biden
Ohio,Richland,17640,41472,863,Trump
Ohio,Ross,10557,22278,464,Trump
Ohio,Sandusky,10596,18896,582,Trump
Ohio,Scioto,9080,22609,358,Biden
Ohio,Seneca,8266,17086,458,Biden
Ohio,Shelby,4465,20422,371,Biden
Ohio,Stark,75904,111097,2878,Biden
Ohio,Summit,151668,124833,3972,Biden
Ohio,Trumbull,44519,55194,1288,Trump
Ohio,Tuscarawas,12889,30458,668,Trump
Ohio,Union,11141,21669,635,Trump
Ohio,Van Wert,3067,11650,248,Biden
Ohio,Vinton,1331,4632,67,Trump
Ohio,Warren,46069,87988,2043,Trump
Ohio,Washington,9243,22307,481,Biden
Ohio,Wayne,16660,36759,864,Trump
Ohio,Williams,4842,13452,357,Biden
Ohio,Wood,30617,35757,1223,Trump
Ohio,Wyandot,2733,8462,195,Trump
Oklahoma,Adair,1387,5585,136,Trump
Oklahoma,Alfalfa,232,1978,52,Biden
Oklahoma,Atoka,765,4557,67,Biden
Oklahoma,Beaver,190,1968,20,Trump
Oklahoma,Beckham,1048,6767,133,Trump
Oklahoma,Blaine,688,3136,77,Biden
Oklahoma,Bryan,3323,12344,309,Biden
Oklahoma,Caddo,2670,7013,176,Trump
Oklahoma,Canadian,16742,43550,1648,Trump
Oklahoma,Carter,4470,14699,310,Biden
Oklahoma,Cherokee,6027,11223,464,Biden
Oklahoma,Choctaw,1082,4698,52,Trump
Oklahoma,Cimarron,70,970,14,Trump
Oklahoma,Cleveland,49827,66677,3274,Trump
Oklahoma,Coal,374,2091,59,Biden
Oklahoma,Comanche,13747,20905,979,Trump
Oklahoma,Cotton,393,2117,62,Biden
Oklahoma,Craig,1217,4686,129,Trump
Oklahoma,Creek,6577,23294,634,Biden
Oklahoma,Custer,2369,8060,262,Trump
Oklahoma,Delaware,3472,13557,216,Biden
Oklahoma,Dewey,214,2124,21,Biden
Oklahoma,Ellis,162,1688,23,Trump
Oklahoma,Garfield,4919,16970,541,Biden
Oklahoma,Garvin,1865,8878,179,Trump
Oklahoma,Grady,4144,18538,419,Biden
Oklahoma,Grant,280,1916,30,Biden
Oklahoma,Greer,328,1605,40,Biden
Oklahoma,Harmon,177,747,9,Trump
Oklahoma,Harper,136,1327,24,Biden
Oklahoma,Haskell,783,4165,66,Biden
Oklahoma,Hughes,919,3875,63,Biden
Oklahoma,Jackson,1646,6392,183,Trump
Oklahoma,Jefferson,319,2026,40,Biden
Oklahoma,Johnston,738,3441,72,Biden
Oklahoma,Kay,4040,12834,375,Biden
Oklahoma,Kingfisher,854,5521,90,Biden
Oklahoma,Kiowa,699,2673,55,Biden
Oklahoma,Latimer,762,3437,50,Biden
Oklahoma,Le Flore,3299,15213,293,Biden
